filename,set,dominant_heuristic,instance_type,n_items,capacity,weight_min,weight_max,profit_min,profit_max,w_mean,w_median,w_std,p_mean,p_median,p_std,wp_corr_raw,wp_corr,capacity_ratio
DEF_EASY_100_046.kp,Set-100-128,DEF,easy,100,128,3,64,1,100,0.652,0.688,0.229,0.515,0.555,0.312,-0.036,0.482,0.031
DEF_EASY_100_047.kp,Set-100-128,DEF,easy,100,128,2,64,1,100,0.651,0.672,0.243,0.464,0.42,0.297,-0.002,0.499,0.031
DEF_EASY_100_048.kp,Set-100-128,DEF,easy,100,128,3,64,1,100,0.626,0.656,0.235,0.506,0.48,0.32,-0.018,0.491,0.032
DEF_EASY_100_049.kp,Set-100-128,DEF,easy,100,128,1,64,2,100,0.631,0.68,0.265,0.506,0.5,0.295,-0.337,0.331,0.032
DEF_EASY_100_050.kp,Set-100-128,DEF,easy,100,128,2,64,1,100,0.563,0.562,0.264,0.49,0.46,0.29,-0.086,0.457,0.036
DEF_EASY_100_051.kp,Set-100-128,DEF,easy,100,128,2,64,1,100,0.62,0.625,0.248,0.539,0.555,0.316,-0.111,0.445,0.032
DEF_EASY_100_052.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.662,0.719,0.26,0.494,0.46,0.329,-0.148,0.426,0.03
DEF_EASY_100_053.kp,Set-100-128,DEF,easy,100,128,3,64,1,100,0.643,0.656,0.243,0.484,0.48,0.292,-0.077,0.462,0.031
DEF_EASY_100_054.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.681,0.727,0.246,0.498,0.485,0.305,-0.078,0.461,0.029
DEF_EASY_100_055.kp,Set-100-128,DEF,easy,100,128,1,64,2,98,0.607,0.641,0.237,0.527,0.546,0.275,-0.032,0.484,0.033
DEF_EASY_100_056.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.597,0.578,0.249,0.485,0.465,0.303,-0.096,0.452,0.033
DEF_EASY_100_057.kp,Set-100-128,DEF,easy,100,128,1,64,2,100,0.618,0.609,0.247,0.5,0.465,0.301,0.014,0.507,0.032
DEF_EASY_100_058.kp,Set-100-128,DEF,easy,100,128,3,64,1,100,0.679,0.711,0.241,0.476,0.465,0.297,-0.144,0.428,0.029
DEF_EASY_100_059.kp,Set-100-128,DEF,easy,100,128,2,64,1,99,0.672,0.656,0.23,0.52,0.485,0.311,-0.189,0.405,0.03
DEF_EASY_100_060.kp,Set-100-128,DEF,easy,100,128,1,63,2,100,0.64,0.651,0.232,0.459,0.45,0.296,-0.131,0.435,0.032
DEF_EASY_100_061.kp,Set-100-128,DEF,easy,100,128,1,64,3,100,0.643,0.648,0.245,0.52,0.495,0.292,-0.088,0.456,0.031
DEF_EASY_100_062.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.63,0.664,0.258,0.487,0.46,0.291,-0.119,0.44,0.032
DEF_EASY_100_063.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.603,0.625,0.241,0.46,0.395,0.318,-0.001,0.5,0.033
DEF_EASY_100_064.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.629,0.672,0.261,0.471,0.455,0.312,-0.096,0.452,0.032
DEF_EASY_100_065.kp,Set-100-128,DEF,easy,100,128,1,64,3,100,0.541,0.5,0.266,0.5,0.5,0.264,-0.194,0.403,0.037
DEF_EASY_100_066.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.638,0.68,0.244,0.49,0.495,0.301,-0.195,0.403,0.031
DEF_EASY_100_067.kp,Set-100-128,DEF,easy,100,128,3,64,1,100,0.679,0.688,0.201,0.502,0.515,0.302,-0.16,0.42,0.029
DEF_EASY_100_068.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.647,0.695,0.27,0.54,0.52,0.285,-0.184,0.408,0.031
DEF_EASY_100_069.kp,Set-100-128,DEF,easy,100,128,1,64,3,100,0.602,0.602,0.257,0.503,0.52,0.306,0.041,0.52,0.033
DEF_EASY_100_070.kp,Set-100-128,DEF,easy,100,128,2,64,3,99,0.644,0.703,0.254,0.496,0.47,0.295,0.058,0.529,0.031
DEF_EASY_100_071.kp,Set-100-128,DEF,easy,100,128,1,63,2,100,0.634,0.69,0.26,0.492,0.46,0.305,0.182,0.591,0.032
DEF_EASY_100_072.kp,Set-100-128,DEF,easy,100,128,1,64,1,99,0.617,0.609,0.26,0.491,0.515,0.284,-0.073,0.464,0.032
DEF_EASY_100_073.kp,Set-100-128,DEF,easy,100,128,2,64,1,100,0.612,0.625,0.237,0.519,0.53,0.325,-0.148,0.426,0.033
DEF_EASY_100_074.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.639,0.641,0.257,0.502,0.51,0.307,0.005,0.503,0.031
DEF_EASY_100_075.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.592,0.656,0.28,0.466,0.42,0.306,0.048,0.524,0.034
DEF_EASY_100_076.kp,Set-100-128,DEF,easy,100,128,4,63,2,100,0.663,0.69,0.231,0.521,0.54,0.304,0.104,0.552,0.031
DEF_EASY_100_077.kp,Set-100-128,DEF,easy,100,128,1,63,1,100,0.64,0.643,0.234,0.499,0.5,0.298,-0.057,0.471,0.032
DEF_EASY_100_078.kp,Set-100-128,DEF,easy,100,128,2,64,3,100,0.611,0.656,0.266,0.463,0.43,0.283,-0.14,0.43,0.033
DEF_EASY_100_079.kp,Set-100-128,DEF,easy,100,128,2,64,3,100,0.646,0.672,0.26,0.49,0.47,0.304,-0.052,0.474,0.031
DEF_EASY_100_080.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.597,0.617,0.263,0.477,0.48,0.285,0.012,0.506,0.034
DEF_EASY_100_081.kp,Set-100-128,DEF,easy,100,128,3,64,2,100,0.655,0.703,0.239,0.538,0.56,0.287,-0.057,0.471,0.031
DEF_EASY_100_082.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.622,0.633,0.256,0.522,0.565,0.307,0.041,0.521,0.032
DEF_EASY_100_083.kp,Set-100-128,DEF,easy,100,128,2,64,2,100,0.621,0.656,0.246,0.479,0.425,0.301,-0.053,0.474,0.032
DEF_EASY_100_084.kp,Set-100-128,DEF,easy,100,128,2,64,2,100,0.616,0.625,0.253,0.495,0.47,0.302,-0.065,0.468,0.032
DEF_EASY_100_085.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.622,0.625,0.25,0.505,0.54,0.304,-0.035,0.483,0.032
DEF_EASY_100_086.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.581,0.578,0.261,0.473,0.455,0.31,-0.151,0.425,0.034
DEF_EASY_100_087.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.643,0.734,0.278,0.501,0.46,0.312,0.125,0.563,0.031
DEF_EASY_100_088.kp,Set-100-128,DEF,easy,100,128,1,64,1,99,0.612,0.633,0.242,0.499,0.53,0.322,-0.194,0.403,0.033
DEF_EASY_100_089.kp,Set-100-128,DEF,easy,100,128,3,64,1,100,0.635,0.664,0.245,0.501,0.5,0.304,-0.141,0.43,0.031
DEF_EASY_100_090.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.658,0.711,0.262,0.512,0.535,0.3,-0.057,0.471,0.03
DEF_EASY_100_091.kp,Set-100-128,DEF,easy,100,128,3,64,1,100,0.651,0.688,0.235,0.496,0.465,0.313,-0.05,0.475,0.031
DEF_EASY_100_092.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.628,0.609,0.234,0.469,0.49,0.306,-0.06,0.47,0.032
DEF_EASY_100_093.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.595,0.641,0.253,0.476,0.44,0.309,-0.093,0.453,0.034
DEF_EASY_100_094.kp,Set-100-128,DEF,easy,100,128,2,64,2,100,0.613,0.625,0.248,0.511,0.465,0.323,-0.014,0.493,0.033
DEF_EASY_100_095.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.642,0.695,0.25,0.542,0.525,0.309,-0.124,0.438,0.031
DEF_EASY_100_096.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.67,0.742,0.246,0.526,0.535,0.319,-0.133,0.433,0.03
DEF_EASY_100_097.kp,Set-100-128,DEF,easy,100,128,2,64,1,100,0.658,0.703,0.261,0.486,0.445,0.312,-0.071,0.465,0.03
DEF_EASY_100_098.kp,Set-100-128,DEF,easy,100,128,1,64,1,100,0.637,0.664,0.251,0.468,0.43,0.31,0.038,0.519,0.031
DEF_EASY_100_099.kp,Set-100-128,DEF,easy,100,128,1,64,2,100,0.632,0.648,0.245,0.468,0.43,0.299,0.006,0.503,0.032
MAXPW_EASY_100_000.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.379,0.258,0.289,0.468,0.455,0.383,0.164,0.582,0.053
MAXPW_EASY_100_001.kp,Set-100-128,MAXPW,easy,100,128,2,64,1,100,0.41,0.242,0.313,0.422,0.32,0.349,-0.096,0.452,0.049
MAXPW_EASY_100_002.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.398,0.234,0.304,0.49,0.485,0.367,0.053,0.527,0.05
MAXPW_EASY_100_003.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.388,0.25,0.307,0.485,0.495,0.353,0.028,0.514,0.052
MAXPW_EASY_100_004.kp,Set-100-128,MAXPW,easy,100,128,2,64,1,100,0.467,0.43,0.309,0.54,0.62,0.364,0.213,0.607,0.043
MAXPW_EASY_100_005.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.472,0.398,0.307,0.477,0.45,0.349,0.109,0.554,0.042
MAXPW_EASY_100_006.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.397,0.32,0.3,0.483,0.44,0.358,0.01,0.505,0.05
MAXPW_EASY_100_007.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.475,0.453,0.302,0.493,0.455,0.364,0.065,0.533,0.042
MAXPW_EASY_100_008.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.411,0.344,0.289,0.568,0.655,0.355,0.124,0.562,0.049
MAXPW_EASY_100_009.kp,Set-100-128,MAXPW,easy,100,128,3,64,1,100,0.496,0.453,0.317,0.476,0.495,0.367,0.109,0.554,0.04
MAXPW_EASY_100_010.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.427,0.359,0.316,0.502,0.485,0.363,0.138,0.569,0.047
MAXPW_EASY_100_011.kp,Set-100-128,MAXPW,easy,100,128,2,64,1,100,0.435,0.391,0.315,0.48,0.485,0.363,-0.037,0.481,0.046
MAXPW_EASY_100_012.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.434,0.383,0.303,0.499,0.49,0.354,0.1,0.55,0.046
MAXPW_EASY_100_013.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.393,0.25,0.302,0.544,0.585,0.355,0.094,0.547,0.051
MAXPW_EASY_100_014.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.375,0.25,0.294,0.497,0.485,0.365,0.199,0.6,0.053
MAXPW_EASY_100_015.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.411,0.375,0.297,0.496,0.505,0.367,0.129,0.565,0.049
MAXPW_EASY_100_016.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.414,0.328,0.307,0.528,0.505,0.371,0.133,0.567,0.048
MAXPW_EASY_100_017.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.434,0.359,0.315,0.508,0.565,0.367,0.192,0.596,0.046
MAXPW_EASY_100_018.kp,Set-100-128,MAXPW,easy,100,128,1,62,1,100,0.421,0.306,0.317,0.516,0.565,0.364,0.021,0.511,0.049
MAXPW_EASY_100_019.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.469,0.422,0.316,0.471,0.46,0.345,0.085,0.543,0.043
MAXPW_EASY_100_020.kp,Set-100-128,MAXPW,easy,100,128,2,64,1,100,0.47,0.43,0.314,0.456,0.385,0.353,-0.036,0.482,0.043
MAXPW_EASY_100_021.kp,Set-100-128,MAXPW,easy,100,128,2,64,1,100,0.408,0.32,0.291,0.524,0.56,0.368,0.162,0.581,0.049
MAXPW_EASY_100_022.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.405,0.219,0.324,0.514,0.5,0.379,0.033,0.517,0.049
MAXPW_EASY_100_023.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.435,0.406,0.307,0.48,0.45,0.374,0.149,0.575,0.046
MAXPW_EASY_100_024.kp,Set-100-128,MAXPW,easy,100,128,2,64,1,100,0.439,0.359,0.323,0.485,0.435,0.366,0.024,0.512,0.046
MAXPW_EASY_100_025.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.389,0.258,0.305,0.477,0.445,0.362,0.052,0.526,0.051
MAXPW_EASY_100_026.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.415,0.359,0.293,0.5,0.495,0.373,0.04,0.52,0.048
MAXPW_EASY_100_027.kp,Set-100-128,MAXPW,easy,100,128,2,64,1,100,0.412,0.273,0.289,0.502,0.445,0.366,0.175,0.588,0.049
MAXPW_EASY_100_028.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.397,0.273,0.297,0.476,0.475,0.361,0.123,0.562,0.05
MAXPW_EASY_100_029.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.391,0.281,0.298,0.496,0.53,0.369,0.05,0.525,0.051
MAXPW_EASY_100_030.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.414,0.336,0.303,0.484,0.48,0.368,0.134,0.567,0.048
MAXPW_EASY_100_031.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.429,0.336,0.301,0.53,0.5,0.358,0.1,0.55,0.047
MAXPW_EASY_100_032.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.428,0.359,0.308,0.462,0.365,0.369,-0.061,0.47,0.047
MAXPW_EASY_100_033.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.399,0.289,0.307,0.502,0.535,0.369,0.013,0.507,0.05
MAXPW_EASY_100_034.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.378,0.211,0.305,0.524,0.575,0.375,0.191,0.595,0.053
MAXPW_EASY_100_035.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.422,0.359,0.311,0.511,0.505,0.375,0.047,0.523,0.047
MAXPW_EASY_100_036.kp,Set-100-128,MAXPW,easy,100,128,2,64,1,100,0.388,0.391,0.262,0.518,0.515,0.373,0.132,0.566,0.051
MAXPW_EASY_100_037.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.443,0.375,0.331,0.482,0.49,0.35,0.083,0.541,0.045
MAXPW_EASY_100_038.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.371,0.258,0.291,0.501,0.505,0.356,0.078,0.539,0.054
MAXPW_EASY_100_039.kp,Set-100-128,MAXPW,easy,100,128,2,64,1,100,0.424,0.391,0.293,0.527,0.59,0.38,0.024,0.512,0.047
MAXPW_EASY_100_040.kp,Set-100-128,MAXPW,easy,100,128,2,64,1,100,0.375,0.195,0.31,0.508,0.48,0.367,0.065,0.533,0.053
MAXPW_EASY_100_041.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.411,0.273,0.313,0.434,0.34,0.362,0.054,0.527,0.049
MAXPW_EASY_100_042.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.385,0.297,0.298,0.53,0.565,0.368,0.061,0.53,0.052
MAXPW_EASY_100_043.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.398,0.234,0.316,0.497,0.44,0.365,0.129,0.565,0.05
MAXPW_EASY_100_044.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.426,0.336,0.296,0.506,0.495,0.357,0.086,0.543,0.047
MAXPW_EASY_100_045.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.396,0.266,0.293,0.509,0.535,0.367,0.082,0.541,0.051
MAXPW_EASY_100_046.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.452,0.398,0.311,0.504,0.51,0.356,0.119,0.56,0.044
MAXPW_EASY_100_047.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.409,0.281,0.297,0.497,0.515,0.36,0.054,0.527,0.049
MAXPW_EASY_100_048.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.442,0.352,0.323,0.528,0.58,0.354,0.06,0.53,0.045
MAXPW_EASY_100_049.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.378,0.258,0.293,0.522,0.53,0.382,0.135,0.567,0.053
MAXPW_EASY_100_050.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.427,0.352,0.292,0.501,0.445,0.367,0.112,0.556,0.047
MAXPW_EASY_100_051.kp,Set-100-128,MAXPW,easy,100,128,2,64,1,100,0.407,0.336,0.276,0.501,0.48,0.359,0.145,0.573,0.049
MAXPW_EASY_100_052.kp,Set-100-128,MAXPW,easy,100,128,2,64,1,100,0.401,0.258,0.303,0.449,0.405,0.362,0.127,0.563,0.05
MAXPW_EASY_100_053.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.389,0.297,0.289,0.461,0.37,0.366,0.003,0.501,0.051
MAXPW_EASY_100_054.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.45,0.391,0.311,0.508,0.46,0.368,0.044,0.522,0.044
MAXPW_EASY_100_055.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.442,0.383,0.311,0.464,0.42,0.361,0.115,0.558,0.045
MAXPW_EASY_100_056.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.418,0.352,0.282,0.493,0.5,0.359,0.097,0.549,0.048
MAXPW_EASY_100_057.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.394,0.312,0.279,0.518,0.535,0.379,0.076,0.538,0.051
MAXPW_EASY_100_058.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.415,0.297,0.314,0.518,0.505,0.37,0.104,0.552,0.048
MAXPW_EASY_100_059.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.475,0.422,0.312,0.476,0.46,0.35,0.05,0.525,0.042
MAXPW_EASY_100_060.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.429,0.367,0.312,0.505,0.5,0.357,0.025,0.513,0.047
MAXPW_EASY_100_061.kp,Set-100-128,MAXPW,easy,100,128,1,63,1,100,0.382,0.238,0.29,0.479,0.43,0.37,0.117,0.558,0.053
MAXPW_EASY_100_062.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.407,0.305,0.303,0.49,0.43,0.368,0.061,0.531,0.049
MAXPW_EASY_100_063.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.415,0.336,0.307,0.491,0.46,0.362,0.148,0.574,0.048
MAXPW_EASY_100_064.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.427,0.375,0.298,0.527,0.555,0.374,0.241,0.621,0.047
MAXPW_EASY_100_065.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.433,0.344,0.297,0.527,0.53,0.359,0.081,0.54,0.046
MAXPW_EASY_100_066.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.352,0.258,0.271,0.483,0.48,0.378,0.04,0.52,0.057
MAXPW_EASY_100_067.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.414,0.297,0.304,0.537,0.57,0.371,-0.002,0.499,0.048
MAXPW_EASY_100_068.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.419,0.328,0.292,0.505,0.47,0.364,0.04,0.52,0.048
MAXPW_EASY_100_069.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.399,0.258,0.301,0.445,0.385,0.348,-0.042,0.479,0.05
MAXPW_EASY_100_070.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.389,0.273,0.303,0.467,0.415,0.37,0.04,0.52,0.051
MAXPW_EASY_100_071.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.431,0.406,0.292,0.491,0.5,0.369,-0.046,0.477,0.046
MAXPW_EASY_100_072.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.458,0.383,0.319,0.485,0.46,0.348,0.02,0.51,0.044
MAXPW_EASY_100_073.kp,Set-100-128,MAXPW,easy,100,128,1,64,1,100,0.399,0.234,0.313,0.561,0.645,0.361,0.262,0.631,0.05
